Lithology,InitialPorosity,Decay_c,min_z,max_z,Reference,,
Sand,0.49,3704,500,6000,Sclater and Christie (1980) ,,
Sand (60%+),0.545,1639,0,1720,Kominz et al. (2011),,
Sand (90%+),0.407,18605,0,500,Kominz et al. (2011),,
Sand,0.43,2222,350,5000,Zhao et al. (2015),,
Sand,0.5,2415,500,5000,He et al. (2017),,
sand (high),0.7,3566,100,1200,Kominz et al. (2001),,
sand (high),0.75,2982,1200,4900,Kominz et al. (2001),,
sand (low),0.55,1730,100,1750,Kominz et al. (2001),,
sand (low),1.01,1082,1750,4900,Kominz et al. (2001),,
Mud (high),0.55,3107,0,4850,Van Sickel et al. [2004],,
Mud (low),0.4,2164,0,4850,Van Sickel et al. [2004],,
Coarse Sand,0.428,1629,500,3100,Gallagher and Lambeck (1989) ,,
Coarse Sand (upper),0.48,2242,500,3100,Gallagher and Lambeck (1989) ,,
Coarse Sand (lower),0.38,1182,500,3100,Gallagher and Lambeck (1989) ,,
Fine sand,0.433,1217,50,2900,Gallagher and Lambeck (1989) ,,
Fine sand (upper),0.48,1453,50,2900,Gallagher and Lambeck (1989) ,,
Fine sand (lower),0.38,887,50,2900,Gallagher and Lambeck (1989) ,,
Shaly sand,0.56,2564,500,6000,Sclater and Christie (1980) ,,estimated
Shaly sand,0.397,4717,0,500,Lee and Wagreich (2016) ,,
Shaly sand,0.382,5525,500,1100,Lee and Wagreich (2016) ,,
Shaly sand,0.385,5780,1100,2400,Lee and Wagreich (2016) ,,
Shaly sand,0.414,5102,2400,4100,Lee and Wagreich (2016) ,,
Shaly sand,0.397,3367,1400,1600,Lee and Wagreich (2016) ,,
