"Unit","dSL","dSLerr"
0,-56.005,5.45543387515913
1,-38.761,4.09620137894148
2,-30.7911111111111,4.80958084465108
3,-18.945,7.00636508231384
4,-22.3036363636364,4.4916154762821
5,-8.77142857142857,3.3726155093858
6,-30.99,2.90951599640444
7,-27.141,4.17545352160829
8,-23.6865,2.96441538347605
9,-11.3366666666667,5.70431488728781
10,-19.2711764705882,1.88580862714134
11,-37.6058333333333,5.54327936775605
12,-22.2344444444444,4.23566773850298
13,-1.08666666666667,2.85009735283462
14,-4.214,2.57267317405538
