SeaLevel,Age(Ma)
-10.86,0
-8.46,0.00131
5.14,0.00284
-4.46,0.00357
8.34,0.00431
-2.06,0.00545
-1.26,0.00613
6.74,0.00677
-14.86,0.00771
-14.86,0.0089
-11.66,0.00948
-12.46,0.01003
-6.86,0.01055
-8.46,0.01098
-6.86,0.0115
-38.06,0.01188
-25.26,0.01226
-39.66,0.0126
-3.66,0.01292
-48.46,0.01324
-18.03,0.01354
-15.63,0.01384
-17.23,0.01413
-56.43,0.01443
-34.03,0.01473
-46.03,0.01502
-38.83,0.01531
-61.23,0.01559
-84.43,0.01588
-77.23,0.01616
-93.23,0.01654
-98.83,0.01683
-99.63,0.01711
-92.43,0.01739
-89.23,0.01767
-123.63,0.01795
-122.03,0.01823
-112.43,0.0185
-105.23,0.01876
-118.03,0.01903
-116.43,0.01926
-106.03,0.01953
-104.43,0.01977
-95.63,0.02
-115.63,0.02024
-117.23,0.02047
-102.83,0.02084
-102.03,0.02113
-111.63,0.02134
-114.03,0.02155
-97.23,0.02176
-110.03,0.02196
-105.23,0.02217
-106.03,0.02237
-97.23,0.02257
-97.23,0.02277
-102.83,0.02297
-102.83,0.02317
-104.43,0.02337
-100.43,0.02357
-100.43,0.02377
-115.63,0.02397
-102.83,0.02417
-103.63,0.02437
-101.23,0.02458
-95.63,0.02479
-102.83,0.025
-110.03,0.02522
-98.83,0.02545
-88.43,0.02567
-99.63,0.0259
-110.83,0.02614
-99.63,0.02637
-92.43,0.02662
-86.83,0.02688
-90.83,0.02713
-90.83,0.0274
-95.63,0.02768
-86.83,0.02795
-93.23,0.02825
-84.43,0.02855
-75.63,0.02885
-70.03,0.02917
-68.43,0.02948
-81.23,0.02981
-77.23,0.03014
-79.63,0.03047
-76.43,0.03081
-54.03,0.03116
-70.83,0.03151
-67.63,0.03186
-73.23,0.03222
-70.83,0.03257
-78.03,0.03294
-76.43,0.03329
-75.63,0.03367
-68.43,0.03405
-74.03,0.03445
-77.23,0.0348
-85.23,0.03518
-70.03,0.03556
-84.43,0.03594
-67.63,0.03633
-70.03,0.03711
-66.03,0.0375
-65.23,0.03789
-58.83,0.03829
-73.23,0.03868
-65.23,0.03908
-78.03,0.03948
-76.43,0.03988
-82.83,0.04028
-63.63,0.04109
-68.43,0.04149
-68.43,0.0419
-72.43,0.04231
-75.63,0.04271
-73.23,0.04353
-67.63,0.04601
-68.43,0.04643
-78.83,0.04685
-53.23,0.04768
-49.23,0.0481
-54.83,0.04852
-46.83,0.04894
-69.23,0.04936
-69.23,0.0502
-64.43,0.05062
-65.23,0.05104
-66.83,0.05147
-69.23,0.05189
-74.83,0.05231
-71.63,0.05274
-70.03,0.05316
-62.03,0.05359
-62.03,0.05415
-59.63,0.0543
-30.83,0.05437
-42.03,0.05479
-52.43,0.05522
-50.83,0.05565
-58.03,0.05607
-37.23,0.0565
-64.43,0.05693
-62.83,0.05736
-61.23,0.05779
-82.03,0.05821
-81.23,0.05864
-74.03,0.05907
-66.83,0.0595
-81.23,0.05993
-75.63,0.06036
-68.43,0.06079
-78.03,0.06122
-76.43,0.06208
-81.23,0.06294
-74.83,0.06337
-71.63,0.0638
-78.83,0.06423
-74.83,0.06466
-70.83,0.06509
-72.43,0.06552
-78.83,0.06596
-74.03,0.06639
-63.63,0.06683
-76.43,0.06777
-73.23,0.06821
-64.43,0.06866
-62.03,0.0691
-58.83,0.06955
-62.03,0.07002
-63.63,0.07049
-66.03,0.07119
-52.43,0.07177
-40.43,0.07236
-42.03,0.07305
-46.83,0.07377
-56.43,0.07449
-53.23,0.07525
-40.43,0.07601
-43.63,0.07678
-39.63,0.07757
-36.43,0.07836
-30.03,0.07915
-28.43,0.07995
-29.23,0.08076
-25.23,0.08156
-21.23,0.08237
-28.43,0.08319
-28.43,0.084
-39.63,0.08482
-35.63,0.08564
-49.23,0.08646
-51.63,0.08729
-54.83,0.08812
-60.43,0.08895
-44.43,0.0898
-54.03,0.09064
-52.43,0.0915
-35.63,0.09266
-33.23,0.09354
-30.83,0.09446
-41.23,0.09537
-36.43,0.0963
-28.43,0.09725
-26.83,0.0982
-29.23,0.09916
-30.03,0.10012
-31.63,0.10108
-24.43,0.10201
-39.63,0.10295
-45.23,0.10388
-42.03,0.10489
-42.83,0.10576
-37.23,0.10661
-67.63,0.10793
-49.23,0.10846
-53.23,0.10923
-57.23,0.11024
-55.63,0.111
-26.83,0.11177
-26.83,0.11253
-24.43,0.11358
-7.63,0.1144
-2.83,0.1155
-26.03,0.11642
-14.06,0.11734
-2.86,0.11861
1.14,0.11961
-7.66,0.12061
-3.66,0.122
4.34,0.12305
-17.26,0.1241
-2.86,0.12552
1.94,0.12658
-6.06,0.12761
-16.46,0.12896
-12.46,0.12995
-58.06,0.13081
-44.43,0.13196
-26.03,0.13275
-64.43,0.13347
-82.82,0.13454
-96.42,0.13769
-55.63,0.14026
-82.02,0.14227
-86.82,0.14425
-81.22,0.14632
-74.83,0.14821
-63.63,0.1501
-73.63,0.15199
-68.43,0.15388
-79.22,0.15619
-80.02,0.15849
-78.82,0.16104
-71.63,0.16334
-63.63,0.16565
-60.83,0.16795
-57.23,0.17022
-50.43,0.17214
-46.83,0.17415
-45.23,0.17624
-52.03,0.17887
-50.03,0.182
-50.03,0.18512
-62.83,0.18778
-31.23,0.19021
-22.43,0.19216
-28.43,0.19485
-26.03,0.19728
3.96,0.2003
-11.26,0.20353
-2.88,0.20693
-18.07,0.2101
-12.47,0.21309
-6.47,0.21621
-33.67,0.21908
-76.06,0.22158
-58.99,0.22439
-31.82,0.22752
-41.83,0.23036
-30.66,0.23349
-13.88,0.23633
-4.7,0.24009
-5.52,0.24314
-39.53,0.24531
-38.35,0.24762
-59.96,0.25006
-68.38,0.25227
-63.59,0.25447
-67.21,0.25692
-63.23,0.25936
-63.64,0.26205
-56.86,0.26464
-57.28,0.26731
-60.09,0.26842
-48.1,0.26975
-65.71,0.27215
-57.72,0.27271
-64.94,0.27577
-48.15,0.27771
-45.76,0.27855
-30.17,0.28062
-27.39,0.28243
-11.4,0.28401
-16.2,0.28459
-13.81,0.28558
-21.81,0.28636
-22.62,0.28723
-14.63,0.28846
-18.24,0.29084
-36.26,0.29391
-29.09,0.29787
-23.52,0.30102
-37.97,0.30348
-18.81,0.30554
-16.45,0.30769
-13.27,0.30913
-14.92,0.31177
5.82,0.31488
-11,0.31608
-5.03,0.31727
-54.06,0.31919
-29.27,0.31975
9.93,0.323
9.93,0.32379
1.13,0.32653
15.15,0.32905
-6.45,0.32952
-5.72,0.33322
-21.35,0.33489
-78.59,0.3373
-49.8,0.3377
-77.82,0.33912
-61.83,0.33953
-73.04,0.34034
-87.46,0.34119
-76.27,0.34162
-75.89,0.34304
-84.32,0.34465
-60.33,0.34515
-71.59,0.34798
-71.64,0.35107
-78.08,0.35327
-70.11,0.35476
-74.93,0.35599
-69.36,0.35747
-102.18,0.35895
-44.64,0.36142
-34.31,0.36502
-71.97,0.36888
-38.44,0.37246
-38.49,0.37522
-36.93,0.37742
-28.98,0.3799
-35.43,0.38238
-21.89,0.38576
-5.95,0.38901
-12.42,0.39278
10.73,0.39505
9.91,0.3963
13.93,0.39756
13.13,0.39958
9.13,0.40033
24.32,0.4031
5.13,0.40587
2.73,0.40883
12.69,0.4123
-6.23,0.41651
-56.32,0.42014
-71.63,0.42404
-94.11,0.42684
-103.4,0.43001
-103.09,0.43301
-109.98,0.4363
-103.24,0.43833
-70.49,0.44011
-85.73,0.44155
-66.63,0.44504
-66.68,0.44669
-72.72,0.44799
-66.76,0.44928
-65.19,0.45057
-64.46,0.45302
-71.67,0.45341
-74.1,0.45434
-66.11,0.45483
-81.35,0.45606
-87,0.45799
-77.46,0.46003
-79.13,0.4625
-81.6,0.46495
-64.89,0.46798
-51.39,0.47124
-33.88,0.47446
-37.17,0.47767
-25.32,0.48282
-16.62,0.48635
-16.72,0.48965
-59.19,0.4925
-20.87,0.49513
-26.55,0.49798
-5.84,0.50083
-41.11,0.50368
-48.38,0.50597
-52.44,0.50826
-62.91,0.51054
-62.17,0.51287
-52.67,0.51637
-37.5,0.51713
-41.59,0.52036
-38.49,0.52394
-40.2,0.52764
-53.13,0.53228
-62.83,0.53599
-62.15,0.54006
-59.85,0.54353
-71.18,0.54807
-48.9,0.55218
-59.41,0.55612
-49.89,0.55883
-42.78,0.56207
-26.04,0.56407
-23.7,0.56608
-28.57,0.56875
-12.63,0.57074
-11.08,0.57243
0.04,0.57508
-23.25,0.57845
-61.74,0.58158
-65.83,0.58494
-50.73,0.58811
-37.24,0.59223
-34.98,0.59695
-40.68,0.60044
-35.21,0.60565
-17.73,0.61052
-36.22,0.61417
-49.12,0.61785
-50.75,0.62012
-80.95,0.62291
-74.85,0.62541
-94.59,0.628
-75.54,0.62967
-84.18,0.63097
-87.9,0.63231
-79.93,0.6339
-73.8,0.63513
-76.93,0.63761
-68.35,0.63962
-72.1,0.64222
-72.13,0.64401
-72.78,0.64601
-71.58,0.6476
-63.65,0.65075
-61.24,0.65375
-64.96,0.65511
-60.69,0.65702
-58.87,0.65838
-56.44,0.66002
-47.87,0.66196
-61.44,0.66371
-47.3,0.66429
-61.51,0.66749
-53.57,0.6704
-51.14,0.67214
-62.24,0.67343
-53.65,0.67468
-57.99,0.6762
-54.94,0.67773
-54.37,0.68027
-29.84,0.68435
-57.98,0.71108
-67.31,0.7194
-64.88,0.72148
-67.97,0.72271
-55.06,0.72375
-42.77,0.7249
-39.72,0.72674
-45.3,0.7299
-52.78,0.73766
-47.3,0.74219
-54.1,0.74415
-49.81,0.74568
-60.9,0.74676
-68.92,0.74865
-57.91,0.75327
-57.95,0.75654
-48.15,0.7601
-35.89,0.76356
-39.01,0.76671
-31.04,0.76927
-25.53,0.77178
-28.03,0.77405
-12.68,0.77656
-9.64,0.77965
-8.45,0.78258
-15.25,0.78533
-31.27,0.78742
-37.76,0.78924
-27.65,0.79281
-71.37,0.79483
-68.33,0.79826
-66.52,0.80196
-54.85,0.80533
-56.72,0.80798
-34.58,0.81003
-53.05,0.81219
-48.14,0.81451
-40.16,0.81655
-30.33,0.81904
-21.12,0.82159
-37.13,0.82388
-32.88,0.83219
-31.66,0.83482
-33.53,0.83744
-29.23,0.84006
-15.72,0.84268
-9.58,0.84529
-12.67,0.84791
-20.69,0.8508
-32.4,0.85342
-4.73,0.85663
-6.6,0.86067
-26.31,0.86378
-58.33,0.86693
-57.12,0.86996
-78.67,0.87335
-72.54,0.87632
-78.09,0.87865
-74.42,0.88082
-64.59,0.8835
-58.45,0.88617
-63.39,0.88918
-61.57,0.89285
-57.91,0.89728
-58.54,0.90033
-33.31,0.902
-40.7,0.90344
-43.77,0.90439
-39.47,0.90559
-35.78,0.90678
-39.47,0.90846
-39.47,0.91085
-46.24,0.91587
-54.85,0.92137
-62.85,0.92448
-58.54,0.92644
-59.16,0.92767
-45.01,0.92849
-44.39,0.93187
-32.08,0.93586
-27.16,0.93893
-0.09,0.94209
-15.47,0.94455
-7.47,0.94725
-1.32,0.94957
7.3,0.95211
10.37,0.95491
-35.16,0.95739
-18.55,0.95963
-43.16,0.96525
-29.01,0.96879
-23.47,0.97253
-19.78,0.97626
-11.78,0.97999
-26.55,0.98403
-30.24,0.98861
-18.24,0.99323
-27.78,0.99739
-35.46,1.00202
-33.9,1.00618
-43.74,1.00711
-44.33,1.01127
-16.61,1.01675
-33.84,1.01814
-7.96,1.02377
-23.95,1.02511
-21.17,1.02899
-51.62,1.02984
-41.14,1.03291
-55.28,1.03615
-58.96,1.03858
-53.41,1.04076
-49.7,1.04303
-42.93,1.04519
-47.22,1.04722
-44.14,1.04905
-41.05,1.05133
-42.88,1.05361
-42.25,1.0559
-39.17,1.05817
-32.39,1.06023
-16.99,1.06231
-9.6,1.0646
10.72,1.06753
36.58,1.07055
-25.55,1.07279
-31.7,1.07474
9.54,1.07665
-5.84,1.07823
-3.98,1.07989
-19.97,1.08165
-7.04,1.08326
-5.8,1.08486
-38.4,1.08646
-44.55,1.08822
-44.54,1.08998
-46.99,1.09179
-37.14,1.09398
-48.2,1.09639
-50.03,1.09851
-34.64,1.10043
-23.56,1.10214
-29.69,1.10513
-19.23,1.10662
-22.91,1.10812
-24.75,1.10958
-41.97,1.11138
-43.8,1.11326
-48.72,1.11504
-50.55,1.11747
-59.15,1.11978
-51.76,1.12244
-55.43,1.12508
-50.5,1.1274
-42.49,1.12971
-51.71,1.13179
-32.62,1.13411
-26.46,1.13596
-24.6,1.13804
-22.13,1.14035
-22.73,1.14266
-31.95,1.14493
-20.86,1.14731
-17.16,1.14947
-6.07,1.15185
-9.75,1.15401
-10.97,1.15595
-22.65,1.15812
-15.87,1.1602
-1.09,1.1629
-16.46,1.16561
-17.06,1.16831
1.42,1.17185
-2.87,1.17523
-25.62,1.1786
-11.45,1.18198
-36.05,1.18581
-39.1,1.18967
-37.85,1.19353
-35.37,1.19739
-21.2,1.20111
-39.66,1.20443
-34.73,1.20774
-40.26,1.21172
-30.41,1.21587
-15.03,1.22001
-15.02,1.22451
-1.48,1.22808
-14.4,1.23164
2.22,1.23521
1,1.23856
-18.69,1.24108
-32.84,1.24342
-54.99,1.24556
-45.76,1.24671
-56.83,1.2474
-52.52,1.24791
-64.83,1.24859
-61.13,1.24979
-44.52,1.25159
-47.59,1.2537
-42.67,1.25614
-40.82,1.25803
-35.28,1.26141
-27.89,1.26548
-22.35,1.26939
-19.88,1.27313
-14.95,1.27716
-9.41,1.27991
-17.41,1.28193
-21.1,1.28401
-30.94,1.28591
-44.47,1.2877
-50.62,1.28949
-46.31,1.29128
-45.08,1.29305
-42.62,1.29471
-41.39,1.29588
-45.08,1.29753
-50.61,1.29853
-34.61,1.29969
-35.85,1.30085
-37.08,1.30267
-32.17,1.30466
-25.41,1.30715
-16.19,1.30964
-14.97,1.31182
-10.67,1.31348
-16.83,1.31513
-7.6,1.31632
-19.3,1.31815
-29.77,1.31953
-37.77,1.32076
-37.78,1.32247
-38.4,1.32418
-35.33,1.32601
-39.03,1.32877
-37.81,1.33182
-34.75,1.33518
-28.01,1.34308
-22.48,1.34573
-4.04,1.34854
-0.97,1.35083
2.72,1.35265
7.01,1.35517
-9.61,1.35745
-13.62,1.35965
-23.78,1.3625
-32.41,1.36559
-42.87,1.3679
-42.27,1.37049
-36.13,1.37512
-40.45,1.37759
-34.31,1.37991
-35.55,1.38213
-20.17,1.38499
-23.88,1.38782
-14.04,1.391
-1.75,1.39436
-1.15,1.39715
-9.77,1.39991
-20.87,1.4024
-30.13,1.40526
-41.24,1.40834
-46.2,1.41212
-45.01,1.41598
-34.58,1.41919
-22.31,1.42245
-21.11,1.42553
1.62,1.4286
0.36,1.43168
3.4,1.43515
18.14,1.43794
10.11,1.44041
16.86,1.44287
14.37,1.44558
-13.35,1.44864
-29.99,1.45106
-49.1,1.45405
-50.98,1.4574
-42.4,1.46075
-31.97,1.46434
-13.55,1.46732
-14.19,1.4697
-14.21,1.47239
-1.93,1.47485
2.35,1.47732
9.09,1.47978
7.22,1.48239
5.95,1.48575
-26.7,1.48983
-50.13,1.49472
-42.21,1.50084
-34.35,1.50738
-14.15,1.51196
-4.39,1.5161
-13.71,1.52014
-26.1,1.52395
-37.02,1.53097
-55.87,1.53462
-49.8,1.53828
-49.87,1.54157
-19.19,1.54531
-21.11,1.54883
-38.1,1.55208
-23.71,1.55512
-20.09,1.5584
-14.62,1.56167
-18.99,1.56448
-24.92,1.56809
-30.82,1.57062
-42.55,1.57243
-41.09,1.57627
-38.38,1.57897
-35.33,1.58012
-21.87,1.58324
-24.96,1.58403
-20.77,1.58951
-24.51,1.59144
-18.99,1.59218
-17.83,1.59549
-14.83,1.5992
-16.09,1.60031
-15.52,1.60179
-14.32,1.60283
-11.27,1.60371
-20.55,1.6052
-16.26,1.60579
-16.92,1.60728
-23.12,1.60876
-21.94,1.61024
-13.97,1.61114
-29.38,1.61203
-25.77,1.61469
-18.78,1.61767
-27.18,1.62063
-26.34,1.6233
-23.05,1.62639
-47.75,1.62898
-12.74,1.6312
-45.4,1.63275
-37.46,1.63472
-54.15,1.63709
-4.08,1.63945
-49.45,1.64418
-51.49,1.65054
-43.17,1.65999
-44.02,1.66746
-45.3,1.66931
-50.26,1.67024
-47.2,1.67098
-41.68,1.67148
-38.63,1.67223
-36.8,1.67298
-22.69,1.67423
-15.45,1.67872
-13.32,1.68936
-1.7,1.69183
-20.19,1.6929
-19.6,1.69362
-26.4,1.69469
-35.66,1.6955
-38.8,1.69751
-42.54,1.69926
-37.11,1.70258
-36.09,1.70903
-12.44,1.71968
-28.02,1.72577
-6.54,1.72775
-10.9,1.72911
-30.61,1.73002
-22.66,1.73138
-13.55,1.73501
-16.48,1.74
-31.68,1.74401
-22.55,1.74701
-44.75,1.74858
-27.63,1.75177
-19.69,1.75368
-25.91,1.75583
-24.76,1.7584
-2.69,1.76068
-7.07,1.7632
-12.09,1.7661
-21.4,1.76859
-1.18,1.77107
-3.73,1.77396
-11.2,1.77675
-30.99,1.7796
-31.06,1.78193
-47.12,1.78374
-34.87,1.78561
-33.15,1.78948
-38.19,1.79322
-35.24,1.7971
-32.86,1.79776
-32.9,1.79918
-31.11,1.80088
-20.06,1.80201
-9.64,1.80328
-14.6,1.8047
-18.94,1.80598
-14.06,1.80739
-17.18,1.80895
-10.45,1.81037
-21.61,1.81347
-14.88,1.81502
-37.69,1.81656
-39.57,1.81796
-23,1.8195
-13.81,1.82105
-13.24,1.82275
-11.44,1.82414
-3.48,1.82553
8.17,1.82723
-9.71,1.82862
-10.98,1.83001
-11.03,1.83171
-19.07,1.83323
-20.95,1.83474
-30.21,1.8358
-15.49,1.83747
-23.51,1.83807
-16.81,1.84064
-16.24,1.84246
-16.9,1.84398
-13.29,1.84701
-5.33,1.8484
-2.28,1.84966
-1.08,1.85072
-10.34,1.85173
-7.91,1.85274
-7.93,1.8538
-11.04,1.85486
-12.3,1.85592
-25.25,1.85698
-37.58,1.85804
-26.54,1.8592
-45.03,1.86053
-46.92,1.86204
-45.12,1.86362
-53.16,1.86521
-59.97,1.8668
-45.25,1.86839
-34.83,1.86997
-31.18,1.87156
-32.46,1.87315
-37.42,1.87479
-31.93,1.87656
-9.83,1.87832
-6.81,1.88026
-13.62,1.88206
-19.83,1.88385
-13.11,1.88564
-19.92,1.88743
-15.05,1.88921
-12.02,1.89101
-12.07,1.89292
-17.1,1.89674
-34.38,1.89864
-38.74,1.90097
-40.61,1.90335
-32.64,1.90574
-34.52,1.90812
-19.78,1.91044
-28.42,1.91253
-30.3,1.91509
-22.33,1.91741
-16.21,1.91952
-16.23,1.92137
-10.72,1.92328
-3.36,1.92522
-7.69,1.92715
