"Units","Age","Age_err","oT","T0_err"
0,0.500329617209808,0.0291224459772517,750,250
1,0.772450597537371,0.0183488015148201,93.1976010000008,7.391624579
2,0.773,0.002,530.658144,8.59175134973438
3,0.99,0.004,48.9925299999995,6.60590136841621
4,1.018,0.002,25.8443809999999,22.0654101391635
5,1.07,0.003,414.496528000001,26.0507953321859
6,1.18,0.001,120.317760999999,26.8488156114718
7,1.231,0.002,1025.410353,37.1324555377768
8,1.574,0.001,1336.910775,29.8391588153326
9,1.7,0.003,43.2317970000001,54.7435743713635
10,1.775,0.015,493.542193,66.4189817385374
11,1.934,0.002,207.649411,81.5609582613053
12,2,0.004,486.1900248,420.475743073641
13,2.595,0.006,652.8303872,414.2203283
14,3.39393469748539,0.169696734874269,0,0
