"Units","Age","Age_err","oT","T0_err"
0,0.605597767635226,0.0231647265673039,750,250
1,0.82002059929761,0.0181032880904094,613.746032999999,143.8401292
2,1.018,0.002,698.687236,145.320347211604
3,1.18,0.001,89.0019990000001,36.7570822207584
4,1.215,0.011,132.774379,39.113253784658
5,1.231,0.002,1071.592955,40.2002332589773
6,1.574,0.001,401.825319,50.7729643851598
7,1.7,0.003,258.127634,54.8398589890366
8,1.775,0.015,715.817024,38.5547630329143
9,1.934,0.002,37.7338559999998,12.5979970040694
10,2,0.004,412.682578,16.8648881987662
11,2.147,0.004,1063.761807,95.9077359718923
12,2.595,0.006,808.8173398,104.178564556563
13,3.032,0.006064,214.1861322,42.75831229
14,3.10158508324019,0.033845260487426,0,0
