section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
FF,HL133,121.5106307,23.60866909,216.8571045,77.10070515,0.554054054,0.126390195,41,13.37908816,33,13,0,0,Chang_1968,1952.388468
FF,HL134,121.5096282,23.6090624,39.44285286,34.234781,0.095238095,0.107512649,2,2,22,14.03566885,3,2,Chang_1968,1920.638678
FF,HL135,121.5070568,23.61434289,211.7204548,132.1429748,0.545454545,0.223751841,12,8,10,6.08276253,0,0,Chang_1968,1608.401726
FF,HL136,121.5057989,23.61499606,122.2846959,74.38129446,0.351351351,0.200214061,13,8.062257748,31,14.62873884,7,3,Chang_1968,1563.052399
FF,HL137,121.5041424,23.61725604,167.8538411,83.86498884,0.461538462,0.179287256,24,7.810249676,28,18.02775638,0,0,Chang_1968,1357.586279
FF,HL138,121.5019962,23.62162283,131.2291105,83.94142284,0.375,0.21664726,6,4,11,6.32455532,1,1,Chang_1968,977.483165
FF,HL139,121.5030671,23.62464335,597.567011,363.2860673,0.84375,0.115267474,27,18,5,2.828427125,0,0,Chang_1968,838.2786195
FF,HL140,121.4994725,23.62438936,766.6815585,488.8969514,0.885714286,0.092677332,31,16.2788206,5,2.828427125,1,1,Chang_1968,680.5292508
FF,HL141,121.4984824,23.62618659,528.5640158,205.7523273,0.81884058,0.082303338,113,27.64054992,26,12.40967365,1,1,Chang_1968,467.092803
FF,HL142,121.495619,23.62446492,566.6720422,157.2598125,0.833333333,0.053840184,125,26.41968963,26,8.062257748,1,1,Chang_1968,392.2295875
FF,HL143,121.4911402,23.62807302,351.2998127,201.126319,0.714285714,0.168599098,10,6.08276253,4,2.236067977,0,0,Chang_1968,74.67908249
FF,HL182,121.5297011,23.63007924,583.926824,271.6176258,0.839285714,0.089750751,282,92.54188241,71,30.82207001,17,5.196152423,Chang_1968,1807.765152
FF,HL183,121.5313158,23.63454798,1264.018289,1050.838754,0.941176471,0.066107174,32,13.41640786,3,2,1,1,Chang_1968,1711.174242
FF,HL184,121.5332021,23.64332229,325.3975103,125.5186125,0.691099476,0.118278144,132,33.89690251,62,28.87905816,3,2.236067977,Chang_1968,1581.702441
FF,HL185,121.5314759,23.64255033,483.2884261,157.773629,0.798780488,0.074438537,131,35.41186242,35,12.24744871,2,2,Chang_1968,1536.116372
FP,HL127,121.5268864,23.59860974,698.217001,224.8802514,0.871252205,0.050564585,494,125.1199425,103,25.3179778,30,10,Chang_1968,1321.154251
FP,HL128,121.5254988,23.59922884,723.7641894,381.3657692,0.876984127,0.081316425,442,110.1907437,172,33.09078422,110,29.15475947,Chang_1968,1321.154251
FP,HL129,121.5234898,23.60190017,563.5411286,274.4225392,0.832214765,0.097431253,248,90.53728514,73,29.13760457,23,5.916079783,Chang_1968,1521.701389
FP,HL130,121.5211928,23.60482274,464.8234469,145.8670374,0.789550073,0.073923797,544,138.8380351,195,50.41825066,50,15.8113883,Chang_1968,1553.214436
FP,HL131,121.518064,23.60349763,1107.565169,545.73405,0.92962963,0.045623329,502,132.9812017,80,19.15724406,42,15.29705854,Chang_1968,1553.214436
FP,HL132,121.5141949,23.6060158,662.36521,322.0703533,0.862433862,0.082452353,489,125.1439172,188,41.10960958,110,29.15475947,Chang_1968,1833.833123
FP,HL151,121.5238431,23.59886814,661.3871295,331.6975894,0.862179487,0.0852505,269,56.55086206,94,24.87971061,51,15.84297952,Chang_1968,1132.207492
FP,HL152,121.5211501,23.59843585,176.0698629,48.20610517,0.478787879,0.09783361,79,19.8242276,87,25.88435821,1,1,Chang_1968,1037.66835
FP,HL153,121.5199318,23.59498671,98.29015204,52.84878785,0.283018868,0.157214792,15,10,38,15,0,0,Chang_1968,942.9450758
FP,HL154,121.5173877,23.59118344,87.46105773,52.66035772,0.25,0.162713535,3,2,9,5,0,0,Chang_1968,942.9450758
FP,HL155,121.5154003,23.590608,129.8535625,42.18058744,0.371428571,0.108746215,13,4.69041576,22,6.480740698,0,0,Chang_1968,990.2146465
FP,HL156,121.5147474,23.58954035,265.5802541,165.813285,0.625,0.211515412,10,6.08276253,6,4,0,0,Chang_1968,990.2146465
FP,HL159,121.5069997,23.5870331,419.507488,208.3808775,0.763779528,0.128924066,97,23.21637353,32,20.09975124,2,2,Chang_1968,1420.401936
FP,HL160,121.500487,23.57341307,235.9734193,72.90650991,0.584070796,0.107678967,66,18.734994,48,15.96871942,1,1,Chang_1968,1493.344907
FP,HL161,121.4956286,23.57330233,186.6928035,74.13837765,0.5,0.143069039,40,16.79285562,41,15.5241747,1,1,Chang_1968,1740.319865
HKL,SK1,121.4039394,23.48637385,157.5839166,446.7742108,,,,,,,,,Chang_Chen_1970,2150.962753
HKL,SK2,121.4042349,23.48717723,117.0648046,376.7781879,,,,,,,,,Chang_Chen_1970,2150.962753
HKL,SK3,121.4062759,23.48988534,306.3298233,622.1691924,,,,,,,,,Chang_Chen_1970,2346.012205
HKL,SK4,121.4083323,23.49144934,299.0628276,212.7072535,,,,,,,,,Chang_Chen_1970,2472.248527
HKL,SK5,121.4095759,23.49199993,378.7552018,252.7259531,,,,,,,,,Chang_Chen_1970,2664.115109
HKL,SK6,121.4110966,23.4930047,981.696567,1088.724158,,,,,,,,,Chang_Chen_1970,2747.816709
HKL,SK7,121.4124694,23.49312941,364.9171358,289.8718436,,,,,,,,,Chang_Chen_1970,2856.507786
HKL,SK22,121.4120698,23.49608762,307.5739328,624.82893,,,,,,,,,Chang_Chen_1970,2747.816709
HKL,SK23,121.4127716,23.49596261,528.1233942,528.1297465,,,,,,,,,Chang_Chen_1970,2800.820707
HKL,SK24,121.4132209,23.49584898,415.439592,247.6518679,,,,,,,,,Chang_Chen_1970,2856.507786
HKL,SK25,121.4134149,23.49616691,43.76626629,116.1383414,,,,,,,,,Chang_Chen_1970,2856.507786
