section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
SJG,TT171,121.2192273,22.99519715,1803.708119,1163.285892,,,,,,,,,Chang_1967,859.006734
SJG,TT170,121.2218989,22.99374439,784.8619995,367.4810242,0.889108911,0.065688962,449,117.3072888,91,30.87069808,35,15,Chang_1967,979.6401515
SJG,TT169,121.2230102,22.99419869,919.4421277,353.2105446,0.909793814,0.044214222,353,108.415866,43,15.16575089,8,3.16227766,Chang_1967,1012.44213
SJG,TT157,121.2238652,22.99285157,393.902625,132.5316493,0.74691358,0.090778791,121,35.4964787,42,15.55634919,1,1,Chang_1967,1285.87963
SJG,TT156,121.2242648,22.99200847,712.1858772,172.3184695,0.874439462,0.036061975,195,40.95119046,28,7.071067812,0,0,Chang_1967,1385.653409
SJG,TT155,121.2247069,22.99140455,966.4661952,454.5402802,0.915555556,0.051514349,206,42.36744033,19,12.04159458,0,0,Chang_1967,1477.246423
SJG,TT154,121.2256364,22.99107119,960.7958608,532.0954466,0.914893617,0.06149867,172,33.48133809,19,12.04159458,3,2.236067977,Chang_1967,1570.049453
SJG,TT153,121.2269314,22.98987434,910.1013586,1452.510424,0.908571429,0.191861538,159,38.01315562,91,26.94438717,75,25,Chang_1967,1752.73569
SJG,TT152,121.23164,22.98817545,853.076672,417.5225277,0.900473934,0.06241651,190,36.08323711,22,14.03566885,1,1,Chang_1967,2341.619318
SJG,TT151,121.2330234,22.98685776,430.5237205,146.4879699,0.770491803,0.085746806,94,22.60530911,30,11.70469991,2,1.414213562,Chang_1967,2555.055766
SJG,TT150,121.2344164,22.98329,2153.209952,3116.649207,0.971938776,0.056966073,381,103.1552228,48,17.02938637,37,15.13274595,Chang_1967,2806.97601
SJG,TT149,121.2371614,22.98328496,619.695858,365.1412437,0.850574713,0.107606643,74,19,16,10.04987562,3,3,Chang_1967,3085.49032
SJG,TT147,121.2449929,22.9791388,473.7941302,130.0393943,0.794117647,0.06312245,81,19.18332609,21,6.403124237,0,0,Chang_1967,3984.138258
SJG,TT146,121.2438358,22.97629783,1236.640414,2644.968709,0.939393939,0.176308345,217,52.87721627,84,31.11269837,70,30,Chang_1967,4086.674032
SJG,TT145,121.2449061,22.97259819,2274.468109,2973.155114,0.974025974,0.047658351,150,50,19,5.477225575,15,5,Chang_1967,4271.675084
SJG,TT144,121.2454643,22.97058665,459.5050755,125.6552522,0.786764706,0.064597049,107,26.26785107,31,8.366600265,2,2,Chang_1967,4457.281145
