"Unit","W","Werr"
0,258.230653065417,258.230653065417
1,516.461306130833,82.1158588070786
2,516.461306130833,82.1158588070786
3,470.32398323619,62.2840262743176
4,470.32398323619,62.2840262743176
5,443.325345134762,56.6986421961289
6,398.013021782105,86.7812190821876
7,407.668181041579,103.076605761584
8,321.453195397619,60.2040132681549
9,359.603596902045,58.4245539976342
10,378.620409269556,57.1935231530717
11,503.244271627778,80.6885066526434
12,405.179805288235,54.5031395282804
13,766.6815585,488.8969514
14,351.2998127,201.126319
