"Unit","W","Werr"
0,457.7969853875,457.7969853875
1,915.593970775,274.832899220702
2,722.541814033333,139.432729062642
3,742.102106214286,120.886208835921
4,749.118539386957,114.038822823401
5,753.139834866667,115.936082255188
6,844.290724188235,186.359575859243
7,1021.87547462609,281.442961010734
8,1157.7251411,302.269927447941
9,1073.33466895238,232.082940607669
10,1030.06475311905,228.195789519194
11,615.567032217647,122.094470324345
12,567.993563741176,97.1639618205447
13,307.6302148425,45.3716168836146
14,326.315727634286,51.3790576191445
