"Unit","Age","Age_err","T0","T0_err","PB","PB_err","dSL","dSLerr","undecompactedTotalS","undecompactedTotalS_err","TotalS","TotalS_err","TectS","TectS_err","RhoS","RhoS_err"
0,0.500329617209808,0.0291224459772517,750,250,258.230653065417,258.230653065417,-44.5036,3.88228677800426,6532.00613906542,704.247595139003,6532.00613906542,704.247595139003,2647.24587852177,1080.48324516251,2451.08092009949,372.614431362802
1,0.772450597537371,0.0183488015148201,93.1976010000008,7.391624579,516.461306130833,82.1158588070786,-39.9828571428571,4.37115023234634,6035.71604927369,611.169906120899,6270.39624227306,597.689897886273,2743.36550154714,957.340270641758,2436.45344801969,369.059347170659
2,0.773,0.002,530.658144,8.59175134973438,516.461306130833,82.1158588070786,-23.78375,4.24810038954388,5926.31934113083,611.124338769516,6183.57174823278,598.091421325794,2698.38102135607,957.380341764304,2434.30831782702,373.625495822402
3,0.99,0.004,48.9925299999995,6.60590136841621,470.32398323619,62.2840262743176,-24.2614285714286,3.05074575470719,5350.00155280762,608.709031967884,5714.9714992382,597.956052659178,2523.28249481405,955.552445391167,2420.67463542466,403.276218188481
4,1.018,0.002,25.8443809999999,22.0654101391635,470.32398323619,62.2840262743176,-30.7911111111111,4.80958084465108,5307.5387053473,608.684542833667,5680.64530028606,598.413842106687,2520.13345264067,955.827216642298,2419.28192425673,406.516236477582
5,1.07,0.003,414.496528000001,26.0507953321859,443.325345134762,56.6986421961289,-10.6958333333333,6.30168128820244,5234.6004084681,607.751598580475,5611.87776233071,597.549106958502,2457.28310982114,954.904786981177,2418.53740197313,407.946858186648
6,1.18,0.001,120.317760999999,26.8488156114718,398.013021782105,86.7812190821876,-18.945,7.00636508231384,4783.0407237821,610.744614026843,5218.76574829385,602.477089147812,2313.05006212352,955.765552552087,2405.71372046664,437.043352958733
7,1.231,0.002,1025.410353,37.1324555377768,407.668181041579,103.076605761584,-8.77142857142857,3.3726155093858,4662.20455061301,612.65342300252,5111.4001950583,605.091208931833,2274.36370116712,956.535971026788,2401.63535619972,446.448458579307
8,1.574,0.001,1336.910775,29.8391588153326,321.453195397619,60.2040132681549,-30.99,2.90951599640444,3572.79778339762,605.77407072989,4091.45310674475,604.71836284021,1912.01065814922,948.750455467471,2359.57691711681,555.863765408825
9,1.7,0.003,43.2317970000001,54.7435743713635,359.603596902045,58.4245539976342,-27.141,4.17545352160829,2270.18840990205,604.871658944989,2756.03982536142,635.96528702553,1465.72936239571,964.88762387052,2275.69927658354,883.313522291047
10,1.775,0.015,493.542193,66.4189817385374,378.620409269556,57.1935231530717,-23.6865,2.96441538347605,2242.51892526956,602.26396935829,2724.50386120688,634.378671760278,1462.14638378848,961.804873042576,2272.15602662845,898.048593333634
11,1.934,0.002,207.649411,81.5609582613053,503.244271627778,80.6885066526434,-11.3366666666667,5.70431488728781,1861.25076129445,601.309982552227,2285.61131508296,664.004360623315,1355.37429528075,984.291814566742,2226.50920688441,1195.08427595868
12,2,0.004,486.1900248,420.475743073641,405.179805288235,54.5031395282804,-19.2711764705882,1.88580862714134,1563.47139375882,592.749929888573,1953.25031189491,676.213988653014,1169.83603656564,994.29481288606,2203.71613149912,1396.07833380258
13,2.595,0.006,652.8303872,414.2203283,766.6815585,488.8969514,-22.2344444444444,4.23566773850298,1441.74639014445,640.793765845428,1718.79240114234,691.690430517157,1273.60803788956,864.528123097521,2138.67998366515,1633.83529590163
14,3.39393469748539,0.169696734874269,0,0,351.2998127,201.126319,1.80940789473684,1.20781455196031,349.490404805264,201.129945583649,349.490404805263,201.129945583649,348.67517707247,201.13394960912,0,0
